beds,mapped_bathrooms,avg_price_per_bedroom,accommodates,mapped_property_type,bedrooms,mapped_room_type,price
1,4,183.21820800371316,2,2,2,3,66.0
1,4,183.21820800371316,2,2,1,3,80.0
2,3,138.02608522069195,6,4,3,4,2746.0
1,6,117.31939891873483,2,4,1,4,135.0
1,6,138.02608522069195,2,4,1,4,88.0
2,6,84.19321449108683,4,4,2,4,100.0
4,6,135.26623842867315,6,5,4,4,450.0
2,6,183.21820800371316,2,4,1,4,264.0
4,6,116.07480748074806,5,5,2,4,115.0
6,6,77.14240568832707,8,5,1,4,200.0
4,6,192.2759874726177,4,4,1,4,215.0
1,6,138.02608522069195,3,4,1,4,107.0
3,6,135.26623842867315,6,5,3,4,189.0
2,6,183.21820800371316,2,4,1,4,276.0
3,6,138.02608522069195,6,5,2,4,235.0
2,6,220.34827684827684,4,5,2,4,635.0
2,3,106.39955357142856,2,4,2,4,250.0
4,3,255.9705913606096,8,5,4,4,1250.0
2,6,183.21820800371316,4,4,2,4,210.0
2,6,138.02608522069195,3,4,1,4,136.0
4,3,183.21820800371316,7,5,3,4,360.0
3,6,220.34827684827684,4,4,2,4,189.0
2,2,129.87171912486124,2,2,1,3,81.0
2,6,138.02608522069195,4,4,1,4,141.0
3,6,183.21820800371316,3,4,2,4,306.0
2,2,129.87171912486124,3,2,1,3,86.0
2,2,129.87171912486124,4,2,1,3,95.0
1,4,135.26623842867315,1,2,1,3,52.0
1,2,157.98023595334942,2,2,4,3,55.0
1,6,198.09007603821408,2,4,1,4,150.0
2,3,138.02608522069195,4,4,2,4,267.0
3,6,183.21820800371316,4,5,2,4,236.0
1,6,183.21820800371316,2,2,1,3,45.0
3,6,93.51619733735733,4,4,1,4,79.0
1,6,138.02608522069195,2,4,1,4,108.0
5,6,157.98023595334942,5,5,3,4,485.0
1,4,138.02608522069195,2,2,1,3,50.0
6,3,198.09007603821408,10,4,3,4,852.0
2,4,183.21820800371316,1,2,1,3,80.0
3,6,183.21820800371316,5,4,2,4,197.0
2,4,93.51619733735733,2,2,1,3,46.0
1,6,192.2759874726177,2,4,1,4,209.0
3,1,135.26623842867315,3,2,1,3,95.0
1,6,192.2759874726177,3,4,1,4,149.0
1,6,138.02608522069195,2,5,1,4,135.0
4,6,220.34827684827684,7,4,2,4,304.0
1,6,183.21820800371316,2,4,1,4,150.0
1,4,75.42923051573571,1,2,1,3,40.0
1,6,192.2759874726177,2,4,1,4,150.0
1,5,135.88888888888889,2,2,1,3,107.0
1,5,183.21820800371316,2,2,1,3,122.0
2,4,138.02608522069195,1,2,1,3,89.0
2,5,255.9705913606096,2,2,1,3,233.0
4,3,192.2759874726177,6,5,3,4,400.0
4,3,183.21820800371316,7,4,2,4,383.0
4,6,117.31939891873483,5,5,2,4,709.0
1,5,192.2759874726177,2,2,1,3,145.0
1,6,255.9705913606096,2,5,1,4,128.0
3,3,192.2759874726177,6,5,3,4,270.0
2,6,192.2759874726177,4,4,2,4,296.0
6,3,157.98023595334942,12,5,4,4,1050.0
3,3,157.98023595334942,4,5,2,4,300.0
1,6,135.26623842867315,2,4,1,4,110.0
2,5,138.02608522069195,2,3,1,3,134.0
3,6,192.2759874726177,4,5,2,4,220.0
3,6,88.63882590073068,3,4,2,4,146.0
1,6,138.02608522069195,2,5,1,4,176.0
2,6,192.2759874726177,2,4,1,4,236.0
2,6,138.02608522069195,2,4,1,4,155.0
4,6,116.07480748074806,5,5,1,4,91.0
1,6,183.21820800371316,2,4,1,4,190.0
1,6,183.21820800371316,3,5,1,4,293.0
1,4,138.02608522069195,2,2,1,3,96.0
3,6,255.9705913606096,5,5,2,4,200.0
2,2,138.02608522069195,2,3,1,3,79.0
2,3,138.02608522069195,4,4,2,4,428.0
2,6,198.09007603821408,4,4,2,4,250.0
4,3,255.9705913606096,6,5,3,4,750.0
1,4,93.51619733735733,2,2,1,3,50.0
1,6,93.51619733735733,2,4,1,4,115.0
1,6,138.02608522069195,2,4,1,4,180.0
1,6,88.63882590073068,2,5,1,4,90.0
2,3,138.02608522069195,4,5,2,4,212.0
1,5,198.09007603821408,2,2,1,3,80.0
1,4,138.67108953095203,2,2,1,3,174.0
3,3,135.26623842867315,6,5,3,4,400.0
3,3,135.26623842867315,6,5,3,4,664.0
2,6,198.09007603821408,4,4,2,4,550.0
1,6,183.21820800371316,2,4,1,4,190.0
1,4,135.26623842867315,1,2,1,3,75.0
1,6,138.67108953095203,2,6,1,4,116.0
2,3,198.09007603821408,4,4,3,4,399.0
1,4,138.02608522069195,2,2,1,3,140.0
1,6,255.9705913606096,2,4,1,4,404.0
2,6,183.21820800371316,2,4,2,4,200.0
2,6,183.21820800371316,4,4,2,4,180.0
1,5,255.9705913606096,2,2,1,3,230.0
1,6,138.02608522069195,2,5,1,4,105.0
3,6,183.21820800371316,4,4,2,4,380.0
4,6,183.21820800371316,6,5,3,4,643.0
3,3,183.21820800371316,4,5,3,4,990.0
5,6,255.9705913606096,7,5,3,4,650.0
2,3,198.09007603821408,4,4,2,4,298.0
2,6,220.34827684827684,2,4,1,4,150.0
2,6,255.9705913606096,2,5,1,4,290.0
3,3,183.21820800371316,6,4,2,4,360.0
2,4,129.87171912486124,4,2,3,3,150.0
1,6,138.02608522069195,2,4,1,4,105.0
2,6,183.21820800371316,4,4,2,4,167.0
1,6,138.02608522069195,2,4,1,4,297.0
3,3,192.2759874726177,6,5,3,4,421.0
1,6,255.9705913606096,4,5,1,4,232.0
1,4,103.1286317058469,2,2,1,3,85.0
1,6,138.02608522069195,2,4,1,4,99.0
7,3,98.00111073137388,10,5,4,4,264.0
1,6,192.2759874726177,2,4,1,4,200.0
2,6,138.02608522069195,2,4,1,4,143.0
1,6,157.98023595334942,2,5,1,4,150.0
1,5,192.2759874726177,2,2,1,3,150.0
1,6,138.02608522069195,2,4,1,4,140.0
5,3,255.9705913606096,10,5,5,4,2516.0
4,3,183.21820800371316,9,5,4,4,1000.0
3,6,135.26623842867315,5,4,2,4,138.0
2,6,192.2759874726177,2,5,1,4,197.0
2,6,183.21820800371316,4,4,2,4,328.0
3,6,183.21820800371316,4,4,2,4,199.0
5,6,183.21820800371316,7,5,3,4,500.0
3,6,98.00111073137388,6,4,3,4,100.0
1,6,138.02608522069195,2,5,1,4,168.0
1,6,153.45101102941177,2,5,1,4,130.0
5,3,157.98023595334942,12,5,5,4,979.0
2,6,138.02608522069195,3,5,1,4,96.0
3,6,183.21820800371316,5,4,2,4,351.0
6,3,255.9705913606096,6,5,3,4,950.0
3,6,138.02608522069195,5,5,3,4,184.0
1,6,117.31939891873483,3,5,1,4,309.0
1,4,138.02608522069195,1,2,1,3,40.0
4,6,138.02608522069195,6,5,2,4,557.0
5,3,220.34827684827684,7,5,4,4,1000.0
3,3,198.09007603821408,8,5,2,4,729.0
1,6,138.02608522069195,3,4,1,4,120.0
4,3,255.9705913606096,6,5,4,4,590.0
1,4,138.02608522069195,2,2,1,3,49.0
1,6,138.02608522069195,2,4,1,4,160.0
7,3,138.02608522069195,12,5,6,4,1229.0
1,6,138.02608522069195,3,4,1,4,156.0
2,3,138.02608522069195,5,4,2,4,250.0
2,4,138.02608522069195,3,2,1,3,55.0
1,6,138.02608522069195,2,4,1,4,164.0
2,6,153.45101102941177,4,4,2,4,504.0
2,6,117.31939891873483,4,5,2,4,260.0
2,6,220.34827684827684,4,4,2,4,309.0
2,3,138.02608522069195,4,4,2,4,229.0
4,6,192.2759874726177,6,5,3,4,329.0
4,3,183.21820800371316,6,5,3,4,578.0
2,6,138.02608522069195,4,4,1,4,117.0
8,3,138.67108953095203,8,5,5,4,857.0
4,5,183.21820800371316,4,2,2,3,160.0
1,6,255.9705913606096,2,5,1,4,131.0
1,6,183.21820800371316,2,4,1,4,192.0
4,3,255.9705913606096,8,5,4,4,1313.0
2,6,138.02608522069195,4,4,1,4,143.0
2,6,157.98023595334942,4,4,2,4,371.0
2,6,138.02608522069195,5,5,2,4,264.0
1,6,255.9705913606096,2,5,1,4,180.0
2,3,138.02608522069195,4,5,2,4,260.0
6,6,117.31939891873483,8,5,3,4,395.0
4,3,192.2759874726177,6,5,3,4,986.0
6,3,183.21820800371316,5,5,4,4,380.0
2,6,183.21820800371316,3,4,1,4,243.0
2,5,183.21820800371316,2,2,1,3,90.0
2,3,183.21820800371316,6,4,2,4,514.0
1,5,138.02608522069195,2,2,1,3,108.0
16,3,183.21820800371316,16,5,6,4,1289.0
2,6,86.30045662100457,3,4,1,4,113.0
2,3,88.63882590073068,3,5,2,4,195.0
3,6,183.21820800371316,4,4,2,4,399.0
1,4,138.02608522069195,2,2,1,3,65.0
3,6,183.21820800371316,6,4,3,4,1250.0
2,6,183.21820800371316,3,4,1,4,163.0
2,6,135.26623842867315,4,4,2,4,156.0
1,6,157.98023595334942,3,4,1,4,220.0
2,6,198.09007603821408,4,4,2,4,200.0
4,6,198.09007603821408,5,5,3,4,350.0
4,3,135.26623842867315,8,5,4,4,699.0
1,6,153.45101102941177,2,4,1,4,105.0
1,6,255.9705913606096,2,4,1,4,245.0
3,6,153.45101102941177,4,4,2,4,299.0
3,6,138.02608522069195,4,4,2,4,120.0
4,3,117.31939891873483,6,5,3,4,301.0
4,6,183.21820800371316,4,4,2,4,150.0
4,3,135.26623842867315,8,5,4,4,1150.0
2,6,183.21820800371316,2,4,1,4,257.0
1,6,93.51619733735733,2,5,1,4,121.0
3,3,117.31939891873483,3,5,2,4,138.0
4,6,183.21820800371316,7,5,3,4,454.0
1,6,183.21820800371316,2,4,1,4,212.0
3,6,157.98023595334942,4,4,2,4,360.0
4,3,183.21820800371316,6,5,3,4,450.0
2,6,100.7890625,3,4,1,4,130.0
1,4,117.31939891873483,2,2,1,3,59.0
4,6,135.26623842867315,4,5,2,4,155.0
1,6,138.02608522069195,2,4,1,4,85.0
1,6,138.02608522069195,2,4,1,4,99.0
1,6,255.9705913606096,2,4,1,4,284.0
3,6,157.98023595334942,6,4,3,4,350.0
2,6,183.21820800371316,3,4,1,4,163.0
1,3,157.98023595334942,2,2,1,3,62.0
2,5,183.21820800371316,2,2,1,3,90.0
1,6,183.21820800371316,2,4,1,4,162.0
12,3,135.26623842867315,15,5,4,4,400.0
3,6,255.9705913606096,4,4,2,4,280.0
2,5,255.9705913606096,2,2,1,3,304.0
2,6,138.02608522069195,4,4,1,4,141.0
2,3,138.02608522069195,4,4,2,4,300.0
9,3,157.98023595334942,13,5,5,4,900.0
2,6,135.26623842867315,6,4,2,4,220.0
2,3,183.21820800371316,4,4,2,4,325.0
2,3,153.45101102941177,6,4,2,4,480.0
1,6,153.45101102941177,4,4,1,4,270.0
1,6,129.87171912486124,2,5,1,4,99.0
1,6,138.02608522069195,2,4,1,4,149.0
7,3,157.98023595334942,8,5,5,4,400.0
2,6,157.98023595334942,4,4,2,4,100.0
2,5,138.02608522069195,4,3,1,2,241.0
3,3,157.98023595334942,5,4,2,4,180.0
6,3,192.2759874726177,9,5,4,4,373.0
4,3,135.26623842867315,8,5,4,4,299.0
2,3,192.2759874726177,4,5,2,4,610.0
1,6,138.02608522069195,2,4,1,4,110.0
1,6,71.02556818181817,2,5,1,4,75.0
3,3,183.21820800371316,4,4,2,4,600.0
1,6,157.98023595334942,2,2,1,3,85.0
1,6,68.52813852813853,3,5,1,4,120.0
1,6,138.02608522069195,2,4,1,4,73.0
3,6,117.31939891873483,6,5,3,4,450.0
1,4,93.51619733735733,2,2,1,3,87.0
1,4,93.51619733735733,2,2,1,3,50.0
1,6,255.9705913606096,2,6,1,4,134.0
2,6,183.21820800371316,4,5,2,4,400.0
2,6,138.02608522069195,4,5,1,4,98.0
3,3,138.02608522069195,4,4,2,4,350.0
2,6,153.45101102941177,3,4,2,4,191.0
1,6,138.02608522069195,2,4,1,4,110.0
4,6,192.2759874726177,7,4,3,4,770.0
7,3,220.34827684827684,11,4,5,4,995.0
1,6,138.02608522069195,2,4,1,4,155.0
1,6,183.21820800371316,2,4,1,4,280.0
3,3,135.26623842867315,6,5,3,4,349.0
4,3,135.26623842867315,7,5,4,4,600.0
1,6,183.21820800371316,2,4,1,4,185.0
1,6,138.02608522069195,2,4,1,4,151.0
3,6,138.67108953095203,4,4,2,4,145.0
6,6,157.98023595334942,8,4,3,4,375.0
2,6,135.26623842867315,4,4,2,4,380.0
2,6,135.26623842867315,2,4,1,4,66.0
1,4,130.2765182186235,2,2,1,3,77.0
1,6,138.02608522069195,2,4,1,4,128.0
3,3,255.9705913606096,6,5,3,4,986.0
2,6,198.09007603821408,2,4,1,4,120.0
1,6,138.02608522069195,2,4,1,4,80.0
1,6,183.21820800371316,2,4,1,4,250.0
3,3,138.02608522069195,6,5,3,4,549.0
2,3,138.02608522069195,5,4,2,4,135.0
1,4,135.26623842867315,2,2,1,3,80.0
2,6,183.21820800371316,3,4,2,4,190.0
1,4,138.67108953095203,1,2,1,3,55.0
8,3,130.2765182186235,12,5,6,4,367.0
1,6,138.02608522069195,2,4,1,4,91.0
1,4,138.02608522069195,2,1,1,1,30.0
4,3,192.2759874726177,8,5,4,4,500.0
3,6,93.51619733735733,5,5,2,4,88.0
7,3,157.98023595334942,10,5,5,4,599.0
1,6,130.2765182186235,2,4,1,4,149.0
2,6,138.02608522069195,4,4,2,4,160.0
1,6,116.07480748074806,2,5,1,4,124.0
1,6,135.26623842867315,2,5,1,4,93.0
2,6,220.34827684827684,2,4,1,4,95.0
1,6,220.34827684827684,2,4,1,4,121.0
2,6,183.21820800371316,2,4,1,4,155.0
2,6,138.02608522069195,3,4,1,4,136.0
1,6,138.02608522069195,2,4,1,4,97.0
2,3,138.02608522069195,4,4,2,4,195.0
3,3,183.21820800371316,4,4,2,4,350.0
3,3,157.98023595334942,6,4,3,4,950.0
1,4,77.14240568832707,2,2,1,3,43.0
5,3,192.2759874726177,8,4,3,4,1000.0
1,6,135.26623842867315,2,4,1,4,220.0
1,6,138.02608522069195,3,4,1,4,199.0
1,6,138.02608522069195,2,4,1,4,199.0
1,4,135.26623842867315,2,2,1,3,80.0
1,6,138.02608522069195,2,4,1,4,135.0
3,3,198.09007603821408,6,4,3,4,499.0
2,6,93.51619733735733,4,5,2,4,221.0
2,6,138.02608522069195,4,4,2,4,329.0
4,3,138.02608522069195,7,5,3,4,345.0
1,6,153.45101102941177,2,5,1,4,126.0
3,3,117.31939891873483,6,4,3,4,190.0
1,5,100.7890625,2,2,1,3,83.0
3,6,183.21820800371316,4,4,1,4,110.0
2,6,117.31939891873483,5,4,2,4,170.0
6,3,116.07480748074806,6,5,3,4,900.0
2,6,183.21820800371316,4,5,2,4,230.0
1,6,157.98023595334942,2,4,1,4,100.0
2,6,183.21820800371316,4,4,2,4,319.0
1,6,68.52813852813853,2,5,1,4,100.0
1,6,138.02608522069195,2,4,1,4,90.0
4,3,183.21820800371316,6,4,3,4,499.0
3,6,153.45101102941177,5,4,2,4,120.0
1,4,100.7890625,2,2,1,3,59.0
2,6,129.87171912486124,4,5,2,4,350.0
2,4,75.42923051573571,3,2,1,3,65.0
4,3,183.21820800371316,10,5,5,4,1000.0
2,6,183.21820800371316,4,4,2,4,400.0
2,6,138.02608522069195,4,4,1,4,170.0
2,6,255.9705913606096,3,5,1,4,91.0
1,6,138.02608522069195,2,4,1,4,120.0
3,6,183.21820800371316,5,4,3,4,550.0
6,3,157.98023595334942,8,5,4,4,700.0
4,6,138.02608522069195,4,4,2,4,370.0
2,3,138.02608522069195,4,4,2,4,228.0
2,6,138.02608522069195,4,4,2,4,346.0
2,3,255.9705913606096,8,5,4,4,1700.0
2,6,183.21820800371316,2,4,1,4,126.0
3,6,83.85829030407344,4,5,2,4,68.0
4,3,255.9705913606096,8,5,3,4,850.0
2,6,138.02608522069195,4,4,2,4,220.0
1,6,138.02608522069195,2,4,1,4,119.0
1,4,98.00111073137388,4,2,1,3,50.0
1,6,153.45101102941177,2,4,1,4,100.0
3,6,153.45101102941177,4,4,2,4,230.0
7,3,157.98023595334942,7,5,4,4,450.0
2,6,255.9705913606096,2,2,1,3,85.0
1,6,138.02608522069195,2,4,1,4,250.0
5,3,255.9705913606096,9,5,5,4,2100.0
1,6,138.02608522069195,2,4,1,4,120.0
7,3,192.2759874726177,8,5,4,4,1400.0
5,3,183.21820800371316,7,4,3,4,474.0
1,6,192.2759874726177,2,4,1,4,240.0
1,2,116.07480748074806,1,2,1,3,37.0
3,6,93.51619733735733,5,5,2,4,179.0
1,4,138.02608522069195,1,2,1,3,50.0
1,6,135.26623842867315,4,4,2,4,380.0
1,5,192.2759874726177,2,2,1,3,100.0
5,3,117.31939891873483,9,5,5,4,807.0
2,6,183.21820800371316,4,4,2,4,128.0
1,6,138.02608522069195,2,4,1,4,220.0
1,4,135.26623842867315,1,2,1,3,60.0
1,6,138.02608522069195,2,4,1,4,95.0
1,6,183.21820800371316,2,4,1,4,137.0
4,3,183.21820800371316,7,5,4,4,817.0
4,6,157.98023595334942,9,5,3,4,780.0
1,6,65.60103896103895,1,2,1,3,45.0
2,6,138.02608522069195,2,4,1,4,140.0
2,6,138.02608522069195,5,4,1,4,155.0
1,6,255.9705913606096,2,5,1,4,105.0
4,6,255.9705913606096,6,5,3,4,2000.0
1,6,138.02608522069195,4,4,1,4,110.0
1,4,117.31939891873483,2,2,1,3,80.0
1,6,255.9705913606096,2,5,1,4,308.0
1,6,192.2759874726177,2,5,1,4,146.0
2,3,75.42923051573571,3,4,2,4,200.0
2,3,183.21820800371316,4,4,2,4,250.0
2,6,138.02608522069195,4,4,1,4,148.0
2,6,138.02608522069195,4,4,1,4,149.0
1,4,117.31939891873483,1,2,1,3,64.0
2,6,183.21820800371316,4,4,2,4,110.0
2,6,198.09007603821408,3,4,1,4,344.0
2,6,138.02608522069195,5,4,1,4,156.0
1,4,255.9705913606096,2,2,1,3,97.0
3,3,255.9705913606096,6,5,3,4,750.0
2,4,88.63882590073068,1,2,1,3,85.0
1,6,183.21820800371316,4,4,1,4,195.0
2,6,183.21820800371316,4,4,2,4,491.0
3,6,138.02608522069195,4,4,2,4,205.0
1,6,153.45101102941177,2,4,1,4,111.0
1,4,183.21820800371316,1,2,1,4,105.0
2,3,220.34827684827684,6,5,4,4,445.0
4,3,255.9705913606096,8,5,4,4,1100.0
2,4,157.98023595334942,2,2,1,3,70.0
3,6,192.2759874726177,4,4,2,4,300.0
1,4,65.60103896103895,1,2,1,3,30.0
9,3,220.34827684827684,14,5,4,4,850.0
2,6,153.45101102941177,2,4,1,4,180.0
2,3,192.2759874726177,6,4,2,4,786.0
2,6,138.02608522069195,4,4,1,4,102.0
4,3,153.45101102941177,6,5,3,4,139.0
1,5,88.63882590073068,2,2,1,3,75.0
6,3,183.21820800371316,8,5,4,4,3500.0
7,3,192.2759874726177,11,5,5,4,1500.0
5,3,157.98023595334942,8,5,4,4,1350.0
5,3,220.34827684827684,8,5,4,4,902.0
2,6,93.51619733735733,2,5,1,4,65.0
1,6,138.02608522069195,2,4,1,4,102.0
1,4,135.26623842867315,2,2,1,3,85.0
1,6,183.21820800371316,2,4,1,4,162.0
2,4,93.51619733735733,2,2,1,3,50.0
2,3,138.67108953095203,4,5,2,4,175.0
3,6,135.26623842867315,3,4,2,4,150.0
1,5,192.2759874726177,2,2,1,3,159.0
1,6,138.02608522069195,2,4,1,4,220.0
2,6,138.02608522069195,4,5,2,4,195.0
4,3,117.31939891873483,7,5,4,4,600.0
1,6,138.02608522069195,2,6,1,4,95.0
5,3,153.45101102941177,9,5,4,4,2000.0
1,5,130.2765182186235,2,2,1,3,120.0
6,3,183.21820800371316,6,5,3,4,860.0
1,6,138.02608522069195,2,4,1,4,136.0
7,3,255.9705913606096,7,5,3,4,1090.0
4,3,138.02608522069195,6,4,2,4,364.0
1,6,138.02608522069195,2,4,1,4,340.0
2,6,183.21820800371316,2,4,1,4,109.0
3,6,183.21820800371316,4,4,2,4,435.0
1,6,117.31939891873483,2,5,1,4,89.0
1,6,192.2759874726177,2,5,1,4,130.0
3,3,198.09007603821408,5,4,3,4,500.0
1,4,135.26623842867315,1,2,1,3,45.0
3,3,138.02608522069195,4,4,2,4,400.0
3,6,138.02608522069195,7,5,3,4,264.0
4,3,135.26623842867315,8,5,5,4,950.0
2,6,103.1286317058469,4,4,1,4,200.0
3,6,192.2759874726177,5,4,2,4,468.0
1,4,117.31939891873483,2,2,1,3,70.0
4,3,192.2759874726177,6,4,2,4,119.0
7,3,220.34827684827684,12,5,4,4,3229.0
2,6,157.98023595334942,2,4,1,4,158.0
1,6,153.45101102941177,2,4,1,4,120.0
3,3,138.02608522069195,7,5,3,4,350.0
4,6,157.98023595334942,4,4,2,4,180.0
1,6,138.67108953095203,2,6,1,4,128.0
1,6,157.98023595334942,2,4,1,4,200.0
1,6,198.09007603821408,2,5,1,4,111.0
1,6,183.21820800371316,2,2,1,3,90.0
1,6,138.02608522069195,2,4,1,4,229.0
1,6,93.51619733735733,2,2,1,3,60.0
2,6,183.21820800371316,4,4,2,4,240.0
2,5,130.2765182186235,2,2,1,3,120.0
5,3,198.09007603821408,8,5,4,4,1299.0
1,6,183.21820800371316,2,2,1,3,110.0
3,6,138.02608522069195,5,5,2,4,151.0
1,6,198.09007603821408,2,5,1,4,226.0
3,6,183.21820800371316,6,4,2,4,191.0
1,6,138.02608522069195,2,4,1,4,140.0
1,6,138.02608522069195,2,4,1,4,229.0
2,6,198.09007603821408,4,4,2,4,294.0
4,3,138.02608522069195,5,4,2,4,399.0
2,6,138.02608522069195,4,4,2,4,424.0
5,3,130.2765182186235,8,5,3,4,603.0
1,6,138.02608522069195,2,4,1,4,80.0
4,3,183.21820800371316,7,5,3,4,600.0
3,6,192.2759874726177,5,4,3,4,403.0
7,3,192.2759874726177,8,5,4,4,1150.0
3,3,138.02608522069195,6,4,3,4,249.0
1,6,93.51619733735733,2,4,1,4,80.0
1,6,138.02608522069195,2,4,1,4,186.0
1,6,138.02608522069195,2,2,1,3,104.0
2,6,138.02608522069195,4,4,2,4,212.0
6,3,192.2759874726177,6,5,3,4,829.0
4,6,157.98023595334942,6,5,3,4,325.0
1,6,183.21820800371316,2,4,1,4,251.0
2,6,255.9705913606096,4,5,1,4,181.0
2,6,138.02608522069195,4,4,1,4,130.0
1,6,138.02608522069195,2,4,1,4,179.0
4,3,157.98023595334942,6,5,3,4,500.0
2,6,198.09007603821408,4,4,2,4,439.0
1,6,138.02608522069195,3,4,1,4,120.0
2,6,192.2759874726177,2,4,1,4,250.0
1,4,135.26623842867315,1,2,1,3,75.0
4,3,100.7890625,5,4,3,4,275.0
1,6,183.21820800371316,2,5,1,4,116.0
1,6,138.02608522069195,2,4,1,4,110.0
4,6,198.09007603821408,5,4,2,4,400.0
2,6,138.02608522069195,3,4,1,4,169.0
3,6,183.21820800371316,5,5,2,4,254.0
2,3,138.02608522069195,4,4,2,4,320.0
1,6,183.21820800371316,2,2,1,3,95.0
2,3,255.9705913606096,10,5,4,4,2250.0
1,6,138.02608522069195,2,4,1,4,229.0
1,6,77.14240568832707,4,4,1,4,156.0
2,6,255.9705913606096,4,4,1,4,219.0
6,3,183.21820800371316,10,5,5,4,1000.0
1,4,138.02608522069195,2,2,1,3,99.0
1,6,138.02608522069195,2,4,1,4,169.0
2,6,255.9705913606096,4,4,2,4,1200.0
2,6,135.26623842867315,5,4,3,4,148.0
7,3,183.21820800371316,7,5,4,4,695.0
1,6,117.31939891873483,1,4,1,4,70.0
1,6,138.02608522069195,2,4,1,4,99.0
1,6,198.09007603821408,2,4,1,4,125.0
4,3,157.98023595334942,8,5,4,4,793.0
1,6,138.02608522069195,1,4,1,4,64.0
5,3,183.21820800371316,8,5,5,4,900.0
2,6,138.02608522069195,2,5,1,4,153.0
1,6,138.02608522069195,2,5,1,4,145.0
2,6,138.02608522069195,6,4,3,4,350.0
1,5,100.7890625,2,2,1,3,60.0
1,6,183.21820800371316,2,4,1,4,140.0
2,3,117.31939891873483,4,4,2,4,150.0
2,5,114.50185185185184,4,2,2,3,268.0
1,4,138.02608522069195,1,2,1,3,75.0
3,6,138.02608522069195,4,4,1,4,150.0
3,6,138.02608522069195,6,5,3,4,350.0
1,6,138.67108953095203,2,5,1,4,150.0
4,3,183.21820800371316,6,5,3,4,850.0
2,3,198.09007603821408,4,4,2,4,220.0
1,6,138.02608522069195,2,4,1,4,124.0
1,5,138.02608522069195,2,2,1,3,165.0
2,3,192.2759874726177,4,4,2,4,400.0
1,4,153.45101102941177,1,2,1,3,74.0
2,3,138.02608522069195,4,4,2,4,400.0
1,6,138.02608522069195,3,4,1,4,144.0
2,4,98.00111073137388,4,2,1,3,50.0
2,6,255.9705913606096,2,4,1,4,160.0
7,3,255.9705913606096,10,5,4,4,943.0
1,6,114.50185185185184,2,4,1,4,150.0
1,6,135.26623842867315,2,2,1,3,125.0
2,3,138.02608522069195,4,4,2,4,430.0
2,6,93.51619733735733,2,4,1,4,90.0
1,6,183.21820800371316,2,4,1,4,170.0
3,6,138.67108953095203,4,4,2,4,195.0
2,6,117.31939891873483,4,4,1,4,145.0
2,5,138.02608522069195,4,2,2,3,85.0
3,3,138.67108953095203,4,5,2,4,475.0
4,6,183.21820800371316,8,4,3,4,466.0
3,3,220.34827684827684,6,5,3,4,1422.0
1,6,255.9705913606096,2,4,1,4,305.0
2,4,94.17872340425532,2,2,1,3,65.0
5,6,135.26623842867315,6,5,4,4,350.0
