host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price,distance_to_city_center,email,phone,reviews,jumio,Long term stays allowed,Wifi,Essentials,Smoke alarm,mapped_property_type,mapped_bathrooms,mapped_room_type,response_time
2011-09-18,1.0,0.92,0,1.0,1,1,6,3,4,2,60,2,2,60,60,2,60,1,6,13,38,309,19,6,1,2013-01-29,2021-11-28,4.83,4.89,4.94,4.89,4.89,5.0,4.61,0,1,1,0,0,0.18,614.0,24.331117785848825,1,1,1,0,1,1,1,1,5,3,4.0,4.0
2011-06-13,1.0,0.73,1,3.0,1,1,8,4,5,2,365,2,2,365,365,2,365,1,1,19,31,251,133,5,2,2012-08-18,2021-12-03,4.88,4.89,4.83,4.9,4.95,4.79,4.85,0,1,1,0,0,1.17,271.0,20.43908547125948,0,1,1,0,1,1,1,1,5,3,4.0,3.0
2011-10-31,1.0,1.0,0,1.0,1,1,6,3,4,4,90,4,4,90,90,4,90,1,1,6,36,120,29,5,0,2016-07-06,2021-06-29,4.86,4.96,4.93,4.93,5.0,4.96,4.89,0,1,1,0,0,0.44,325.0,24.68260300974844,1,1,1,1,1,1,1,1,5,3,4.0,3.0
2011-10-07,1.0,0.75,1,5.0,1,1,4,1,2,3,364,3,6,364,364,3,364,1,0,14,41,315,295,22,1,2012-01-06,2021-11-13,4.78,4.89,4.82,4.91,4.9,4.81,4.78,0,5,5,0,0,2.44,141.0,1.4274136925670577,1,1,1,1,1,0,1,1,4,6,4.0,4.0
2011-12-11,0.67,0.4,0,1.0,1,1,4,2,2,7,28,7,7,28,28,7,28,1,6,25,25,276,5,0,0,2018-02-24,2020-01-30,4.75,4.75,4.5,5.0,5.0,4.75,4.5,0,1,1,0,0,0.11,290.0,3.5844321276258793,1,1,1,1,1,1,1,1,5,6,4.0,4.0
2010-04-26,0.96,0.86,0,58.0,1,1,6,2,2,2,365,28,7,999,3088569,2,999,1,9,12,39,184,29,2,0,2014-03-17,2021-04-16,4.59,4.75,4.25,4.84,4.9,4.89,4.63,0,54,54,0,0,0.31,357.0,4.848356650502444,1,1,1,1,0,1,0,1,4,3,4.0,3.0
2010-04-12,1.0,1.0,0,3.0,1,1,1,1,1,28,90,28,28,1125,1125,28,1125,1,0,0,7,7,6,0,0,2012-09-14,2019-01-09,4.67,4.83,4.0,4.83,4.83,5.0,4.83,1,1,0,1,0,0.05,63.0,4.8659730796491205,1,1,1,0,1,1,1,1,2,4,3.0,4.0
2011-04-27,1.0,1.0,0,1.0,1,1,2,1,1,21,365,4,21,365,365,20,365,1,10,40,70,160,29,0,0,2012-10-29,2020-02-22,4.71,4.69,4.69,4.79,4.9,4.86,4.55,0,1,1,0,0,0.26,169.0,6.328935635816571,1,1,1,1,1,1,1,1,4,6,4.0,3.0
2012-02-09,1.0,0.8164300559552359,0,1.0,1,0,1,1,1,3,14,3,3,14,14,3,14,1,30,60,90,365,8,0,0,2013-06-17,2019-03-19,4.86,4.75,4.5,4.88,5.0,5.0,4.5,0,1,0,1,0,0.08,119.0,1.3062714224681147,1,1,1,0,0,1,1,1,2,6,3.0,2.0
2012-02-20,1.0,0.0,0,1.0,1,1,2,1,1,2,90,2,2,90,90,2,90,1,8,38,68,343,22,0,0,2012-10-02,2019-11-09,4.9,4.91,4.77,5.0,4.91,4.91,4.82,0,1,0,1,0,0.2,80.0,21.717543687806703,1,1,1,1,1,1,0,0,2,6,3.0,2.0
2012-02-27,1.0,0.57,1,2.0,1,1,2,1,2,7,65,7,7,65,65,7,65,1,0,1,1,38,160,1,0,2012-03-12,2021-08-05,4.92,4.96,4.84,4.99,4.99,4.82,4.92,0,1,1,0,0,1.35,90.0,7.526648367928496,1,1,1,1,1,1,1,1,5,6,4.0,3.0
2012-03-01,1.0,0.57,0,1.0,1,1,3,1,1,1,1125,1,1,1125,1125,1,1125,1,12,42,72,347,75,2,1,2012-06-15,2021-12-04,4.83,4.8,4.67,4.9,4.93,4.9,4.69,0,1,1,0,0,0.65,264.0,1.4286801374753404,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-03-03,1.0,1.0,0,3.0,1,1,2,1,1,2,160,2,2,1125,1125,2,1125,1,0,0,0,108,134,7,0,2012-06-26,2021-08-14,4.47,4.48,4.68,4.86,4.83,4.69,4.32,1,3,3,0,0,1.16,160.0,5.787863804823722,1,1,1,0,1,1,1,1,4,6,4.0,4.0
2012-03-03,1.0,1.0,0,3.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,12,40,70,345,113,8,2,2014-02-11,2021-11-20,4.59,4.59,4.67,4.85,4.72,4.77,4.41,1,3,3,0,0,1.19,160.0,5.585761960069602,1,1,1,0,1,1,1,1,4,6,4.0,4.0
2012-03-05,1.0,0.0,0,0.0,1,0,4,2,2,90,365,90,90,365,365,90,365,1,30,60,90,365,45,0,0,2012-05-26,2018-05-21,4.79,4.76,4.84,4.91,4.89,4.53,4.67,0,1,1,0,0,0.39,167.0,16.67904283089532,1,1,1,0,1,1,1,1,4,6,4.0,2.0
2012-02-27,0.88,0.25,0,2.0,1,1,4,2,2,2,180,2,2,180,180,2,180,1,3,8,26,294,44,0,0,2013-05-28,2020-02-12,4.64,4.57,4.41,4.82,4.73,4.86,4.45,0,2,1,1,0,0.42,203.0,1.642120635215877,1,1,1,1,1,1,1,1,5,6,4.0,2.0
2012-03-16,1.0,0.99,1,14.0,1,1,4,2,2,7,1120,3,7,1125,1125,7,1125,1,0,10,40,315,202,24,1,2012-05-06,2021-11-16,4.79,4.88,4.9,4.95,4.94,4.64,4.7,0,14,14,0,0,1.73,160.0,2.3000929544924937,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-03-27,1.0,0.6,0,2.0,1,1,4,2,2,21,100,7,21,100,100,20,100,1,13,14,14,14,29,1,0,2014-07-01,2020-12-17,4.76,4.79,4.46,4.93,5.0,4.86,4.64,0,2,1,1,0,0.32,250.0,4.884595453599547,1,1,1,1,1,1,1,1,5,6,4.0,3.0
2012-03-31,0.93,1.0,1,2.0,1,1,3,1,2,3,1124,3,7,1125,1125,3,1125,1,9,39,69,344,212,4,1,2012-06-08,2021-11-14,4.71,4.82,4.76,4.96,4.89,4.74,4.7,0,2,2,0,0,1.83,157.0,1.1170217819766757,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2011-11-10,1.0,0.9,0,1.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,11,41,71,346,108,5,1,2012-06-12,2021-12-04,4.7,4.72,4.8,4.86,4.84,4.66,4.7,0,1,0,1,0,0.93,75.0,8.406931238163882,1,1,1,0,1,1,1,1,2,5,3.0,4.0
2012-04-23,1.0,1.0,0,1.0,1,1,6,3,3,14,150,14,14,150,150,14,150,1,21,50,50,305,11,0,0,2012-10-01,2019-12-30,4.64,4.8,4.9,4.7,5.0,4.8,4.8,0,1,1,0,0,0.1,625.0,9.946089010395363,1,1,1,1,1,1,0,0,5,3,4.0,3.0
2010-02-05,0.0,0.0,0,1.0,1,1,5,2,2,90,1125,90,90,1125,1125,90,1125,1,29,59,89,89,44,0,0,2012-12-01,2019-01-04,4.63,4.56,4.46,4.78,4.85,4.8,4.51,0,1,1,0,0,0.4,383.0,2.0945010197992606,1,1,1,1,1,1,1,1,5,6,4.0,1.0
2012-05-21,0.0,0.5,0,2.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,23,53,83,173,3,0,0,2016-06-24,2018-04-17,4.0,5.0,4.0,5.0,5.0,5.0,4.0,0,2,2,0,0,0.05,250.0,6.472506490427689,1,1,1,1,1,1,1,1,4,6,4.0,1.0
2012-05-12,1.0,0.92,0,3.0,1,1,4,1,2,3,1125,3,3,1125,1125,3,1125,1,19,49,79,344,367,15,2,2012-11-29,2021-11-21,4.67,4.71,4.68,4.89,4.9,4.94,4.68,0,1,1,0,0,3.34,233.0,0.6213350124592438,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-05-31,1.0,1.0,1,2.0,1,1,3,1,2,5,365,5,5,1125,1125,5,1125,1,3,33,56,56,58,1,0,2012-12-20,2020-12-17,4.81,4.84,4.91,4.93,4.98,4.81,4.74,0,1,1,0,0,0.53,192.0,5.938294201965454,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-06-15,1.0,0.94,1,1.0,1,1,2,1,1,2,200,2,2,200,200,2,200,1,3,11,11,138,189,23,2,2012-07-13,2021-11-18,4.27,4.38,4.23,4.72,4.68,4.84,4.48,0,1,1,0,0,1.65,114.0,10.257435648735491,1,1,1,1,1,1,1,1,4,6,4.0,3.0
2012-06-15,1.0,1.0,0,1.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,2,25,55,330,215,13,0,2012-09-01,2021-11-06,4.63,4.74,4.7,4.88,4.82,4.81,4.4,0,1,1,0,0,1.9,200.0,26.336624819007625,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-07-09,1.0,0.86,1,1.0,1,1,2,1,1,3,90,3,3,90,90,3,90,1,12,42,72,347,141,1,1,2012-11-05,2021-11-28,4.86,4.82,4.63,4.96,4.95,4.88,4.79,0,1,0,1,0,1.27,80.0,5.808435856146493,1,1,1,1,1,1,1,0,2,6,3.0,3.0
2012-07-11,1.0,0.99,1,2.0,1,1,4,2,2,2,31,2,4,31,31,2,31,1,1,28,58,167,82,3,0,2014-06-10,2021-06-13,4.81,4.81,4.84,4.97,4.94,4.93,4.77,0,1,1,0,0,0.9,750.0,31.619365708914728,1,1,1,1,1,1,1,1,6,6,4.0,4.0
2011-12-03,0.0,1.0,0,2.0,1,1,3,2,2,90,1124,90,90,1125,1125,90,1125,1,0,6,36,311,55,0,0,2012-12-09,2020-06-22,4.74,4.7,4.65,4.87,4.93,4.96,4.46,0,1,1,0,0,0.5,289.0,6.638686736247501,1,1,1,1,1,1,1,1,4,6,4.0,1.0
2012-04-05,0.71,0.42,0,2.0,1,1,4,2,2,90,90,90,90,90,90,90,90,1,0,0,0,221,45,0,0,2012-08-11,2020-02-12,4.56,4.52,4.36,4.86,4.79,4.88,4.48,0,1,1,0,0,0.4,280.0,7.2237653818031955,1,1,1,1,1,1,1,1,4,6,4.0,3.0
2012-07-24,0.97,0.46,1,64.0,1,1,2,1,1,3,365,3,5,365,365,3,365,1,0,0,16,196,6,0,0,2016-03-12,2019-03-20,4.83,5.0,4.83,5.0,5.0,5.0,4.83,0,19,19,0,0,0.09,600.0,1.115688611891196,1,1,1,1,1,1,1,1,4,6,4.0,3.0
2011-10-07,1.0,0.75,1,5.0,1,1,4,1,2,3,1124,3,6,1124,1124,3,1124,1,8,28,58,333,258,0,0,2012-09-05,2020-03-04,4.69,4.8,4.72,4.9,4.92,4.72,4.66,0,5,5,0,0,2.29,141.0,1.3105794565677757,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-07-29,1.0,0.96,1,4.0,1,1,2,1,2,2,91,2,2,91,91,2,91,1,4,9,12,233,99,0,0,2016-02-25,2020-09-16,4.89,4.95,4.89,4.94,4.96,4.67,4.9,1,4,1,3,0,1.4,65.0,5.627851339608298,1,1,1,1,1,1,1,1,2,4,3.0,4.0
2012-08-09,0.5,0.0,0,1.0,1,1,2,2,1,7,365,7,7,365,365,7,365,1,1,27,57,332,14,0,0,2014-04-08,2020-06-29,4.5,4.08,4.42,4.83,4.67,4.58,4.5,0,1,0,1,0,0.15,66.0,6.064729343780754,1,1,1,1,1,1,0,1,2,4,3.0,2.0
2012-08-16,1.0,1.0,1,1.0,1,1,2,1,1,1,15,1,1,15,15,1,15,1,5,18,48,323,199,4,0,2012-12-31,2021-05-01,4.76,4.86,4.65,4.93,4.92,4.82,4.76,1,1,0,1,0,1.83,80.0,4.944378557854407,1,1,1,1,0,1,1,1,2,4,3.0,4.0
2012-07-24,0.97,0.46,1,64.0,1,1,6,3,2,5,360,5,7,360,365,5,360,1,30,60,86,361,14,0,0,2015-04-24,2019-03-04,5.0,4.93,4.86,4.93,4.79,4.86,4.71,0,19,19,0,0,0.17,2746.0,1.5366827814229083,1,1,1,1,1,1,1,1,4,3,4.0,3.0
2012-06-05,1.0,0.8164300559552359,1,1.0,1,1,2,1,1,3,60,3,3,60,60,3,60,1,0,0,0,222,87,0,0,2012-09-18,2019-11-27,4.81,4.85,4.9,4.95,4.98,4.92,4.83,0,1,1,0,0,0.77,135.0,2.176813123547288,1,1,1,1,1,1,0,1,4,6,4.0,2.0
2011-05-10,1.0,0.8164300559552359,1,1.0,1,1,2,1,1,90,160,90,90,160,160,90,160,1,29,59,89,364,19,0,0,2014-12-14,2020-03-12,4.95,4.84,4.84,4.84,4.95,4.95,4.89,0,1,1,0,0,0.22,88.0,1.9501362340112522,1,1,1,1,1,1,1,1,4,6,4.0,3.0
2012-08-14,1.0,0.0,0,1.0,1,0,4,2,2,90,200,90,90,200,200,90,200,1,20,50,80,355,31,0,0,2015-12-20,2018-04-03,4.55,4.84,4.65,4.93,4.9,4.67,4.73,0,1,1,0,0,0.43,100.0,10.141010174063473,1,1,1,1,1,1,1,1,4,6,4.0,2.0
2012-06-20,1.0,0.95,1,1.0,1,1,6,4,4,3,28,3,3,28,28,3,28,1,0,0,0,0,6,0,0,2013-01-10,2020-01-03,5.0,5.0,4.8,5.0,5.0,5.0,5.0,0,2,2,0,0,0.06,450.0,6.990622388640311,1,1,1,1,1,1,1,1,5,6,4.0,4.0
2012-09-20,1.0,0.94,1,7.0,1,1,2,1,2,1,42,1,1,42,42,1,42,1,12,12,12,12,60,3,1,2012-10-02,2021-11-28,4.85,4.9,4.91,4.98,4.98,4.93,4.71,0,3,3,0,0,0.54,264.0,6.32298213892385,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2011-07-15,1.0,0.31,0,2.0,1,1,5,2,4,3,365,3,3,365,365,3,365,1,0,6,6,137,37,0,0,2012-12-05,2020-02-27,4.59,4.6,4.56,4.89,4.89,4.6,4.69,0,2,2,0,0,0.34,115.0,14.530688059252542,1,1,1,0,1,1,1,1,5,6,4.0,3.0
2012-09-23,1.0,0.0,0,3.0,1,1,8,1,6,15,24,15,15,24,24,15,24,1,16,16,16,16,1,0,0,2019-01-25,2019-01-25,4.0,4.0,4.0,5.0,5.0,5.0,4.0,0,2,1,1,0,0.03,200.0,6.519763271217499,1,1,1,1,0,1,1,1,5,6,4.0,4.0
2012-09-29,1.0,1.0,1,1.0,1,1,4,1,4,7,40,4,7,6,40,7,39,1,1,18,40,106,54,2,0,2012-12-01,2021-08-27,4.98,4.96,4.96,4.98,4.98,4.98,4.92,0,1,1,0,0,0.49,215.0,9.126000048745277,1,1,1,1,1,1,1,1,4,6,4.0,3.0
2012-03-17,1.0,0.98,1,1.0,1,1,3,1,1,4,1000,4,4,1000,1000,4,1000,1,2,8,8,8,489,32,4,2012-11-02,2021-12-02,4.87,4.94,4.85,4.93,4.97,4.8,4.86,0,1,1,0,0,4.41,107.0,2.596827732050767,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-06-03,1.0,0.75,0,1.0,1,1,6,3,3,6,1125,6,6,1125,1125,6,1125,1,0,22,22,273,11,0,0,2013-03-05,2020-01-03,4.3,4.7,4.4,5.0,5.0,4.7,4.5,0,1,1,0,0,0.1,189.0,9.331202558934747,1,1,1,1,1,1,0,0,5,6,4.0,3.0
2012-09-20,1.0,0.94,1,7.0,1,1,2,1,2,1,42,1,1,42,42,1,42,1,12,12,12,61,61,6,0,2012-12-11,2021-05-23,4.8,4.85,4.77,4.98,4.98,4.95,4.67,0,3,3,0,0,0.56,276.0,6.3174270859792365,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2011-01-04,1.0,0.0,0,1.0,1,1,6,2,3,90,1125,90,90,1125,1125,90,1125,1,23,53,83,358,36,0,0,2012-12-14,2019-01-02,4.54,4.5,3.97,4.69,4.63,4.72,4.42,0,1,1,0,0,0.33,235.0,4.054746110027276,1,1,1,1,1,1,1,1,5,6,4.0,3.0
2012-09-22,1.0,0.75,1,3.0,1,1,4,2,2,7,1125,7,7,1125,1125,7,1125,1,3,6,36,311,5,1,0,2013-03-14,2021-02-27,5.0,4.6,5.0,5.0,5.0,5.0,4.0,0,1,1,0,0,0.05,635.0,5.903264534721414,1,1,1,1,1,1,1,1,5,6,4.0,2.0
2012-10-27,1.0,0.0,0,1.0,1,1,2,2,2,14,60,14,14,60,60,14,60,1,21,51,81,356,3,0,0,2015-10-26,2016-01-13,4.0,3.5,4.5,4.5,5.0,5.0,3.0,0,1,1,0,0,0.04,250.0,12.354871237491016,1,1,1,1,1,1,0,1,4,3,4.0,2.0
2012-07-24,0.97,0.46,1,64.0,1,1,8,4,4,2,90,2,7,90,365,2,121,1,1,7,16,244,6,0,0,2014-08-10,2020-10-14,5.0,5.0,5.0,5.0,5.0,5.0,4.83,0,19,19,0,0,0.07,1250.0,32.303144323271795,1,1,1,1,1,1,1,1,5,3,4.0,3.0
2011-04-06,1.0,0.73,0,2.0,1,1,4,2,2,4,1125,4,4,1125,1125,4,1125,1,0,1,8,283,42,0,0,2014-08-15,2020-10-14,4.61,4.67,4.58,4.83,4.69,4.94,4.42,0,2,2,0,0,0.47,210.0,6.699381639768636,1,1,1,1,1,1,1,1,4,6,,3.0
2012-10-09,1.0,1.0,1,4.0,1,1,3,1,2,2,1125,2,21,65,1125,10,683,1,14,16,46,321,430,24,2,2012-12-20,2021-11-16,4.77,4.83,4.82,4.9,4.91,4.78,4.75,1,2,2,0,0,3.94,136.0,1.421797943698766,0,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-10-21,1.0,0.33,0,2.0,1,1,7,3,4,4,24,4,4,24,24,4,24,1,2,3,3,3,12,1,0,2013-03-25,2021-04-17,4.91,4.92,4.83,5.0,5.0,5.0,4.75,0,1,1,0,0,0.11,360.0,5.791947139502336,1,1,1,1,0,1,1,1,5,3,4.0,2.0
2012-06-16,1.0,1.0,1,1.0,1,1,4,2,3,3,1125,3,3,1125,1125,3,1125,1,4,25,44,307,199,24,3,2012-12-30,2021-12-02,4.35,4.46,4.23,4.87,4.77,4.8,4.32,1,1,1,0,0,1.83,189.0,5.931026570967571,1,1,1,1,1,1,1,1,4,6,4.0,4.0
2012-11-09,1.0,1.0,0,4.0,1,1,2,1,2,90,1125,90,90,1125,1125,90,1125,1,30,60,90,365,50,0,0,2012-11-26,2019-08-03,4.48,4.57,4.3,4.74,4.88,4.54,4.62,1,4,0,4,0,0.45,81.0,22.866259987529414,1,1,1,1,1,1,0,1,2,2,3.0,2.0
2011-10-07,1.0,0.75,1,5.0,1,1,4,1,2,3,360,3,6,360,360,3,360,1,8,27,32,285,258,12,1,2013-03-25,2021-11-20,4.8,4.83,4.78,4.93,4.91,4.83,4.8,0,5,5,0,0,2.43,141.0,1.4224363086486906,1,1,1,1,1,0,1,1,4,6,4.0,4.0
2012-01-11,0.75,0.83,0,3.0,1,1,3,2,3,3,21,3,5,28,1125,3,966,1,0,25,55,317,69,0,0,2013-01-03,2020-10-12,4.58,4.49,4.43,4.91,4.88,4.89,4.38,0,1,1,0,0,0.63,306.0,7.083120413142872,1,1,1,1,0,1,1,1,4,6,4.0,3.0
2012-11-09,1.0,1.0,0,4.0,1,1,3,1,2,90,1125,90,90,1125,1125,90,1125,1,29,59,89,364,96,0,0,2013-01-19,2020-03-21,4.14,4.34,4.12,4.52,4.49,4.42,4.27,1,4,0,4,0,0.89,86.0,22.973355904205643,1,1,1,1,1,1,0,0,2,2,3.0,2.0
2012-11-09,1.0,1.0,0,4.0,1,1,4,1,2,90,1125,90,90,1125,1125,90,1125,1,30,60,90,365,29,0,0,2012-12-04,2019-07-15,4.66,4.75,4.57,4.71,4.82,4.59,4.68,0,4,0,4,0,0.26,95.0,22.872621805100263,1,1,1,1,1,1,0,1,2,2,3.0,2.0
2012-11-18,0.5,0.67,0,1.0,1,0,1,1,1,2,37,2,2,37,37,2,37,1,10,40,70,70,43,1,0,2012-11-28,2020-12-15,4.73,4.74,4.35,4.86,4.91,4.67,4.6,0,1,0,1,0,0.39,52.0,8.79552000847363,1,1,1,0,1,1,1,1,2,4,3.0,2.0
2012-11-22,1.0,1.0,1,1.0,1,1,2,4,1,90,1125,90,90,1125,1125,90,1125,1,0,5,35,310,15,1,0,2016-01-03,2021-01-18,4.73,4.67,4.6,5.0,5.0,4.87,4.87,1,1,0,1,0,0.21,55.0,13.17175046734798,1,1,1,1,1,1,1,0,2,2,3.0,3.0
2011-12-01,0.4,0.13,0,1.0,1,1,2,1,1,7,35,7,7,35,35,7,35,1,10,10,38,128,49,2,0,2013-04-26,2021-03-15,4.79,4.81,4.7,4.96,4.91,4.98,4.68,0,1,1,0,0,0.47,150.0,3.5264771958749397,1,1,1,1,1,1,1,1,6,6,4.0,1.0
2012-06-18,1.0,0.9,0,0.0,1,1,4,2,2,3,100,3,6,100,1125,3,1029,1,0,2,26,100,29,4,1,2013-10-08,2021-11-14,4.83,4.86,4.9,4.79,4.93,4.76,4.66,0,1,1,0,0,0.29,267.0,2.891070851871436,1,1,1,1,1,1,1,1,4,3,4.0,4.0
