host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price,distance_to_city_center,review_duration,email,phone,reviews,jumio,Long term stays allowed,Wifi,Essentials,Smoke alarm,avg_price_per_bedroom,mapped_property_type,mapped_bathrooms,mapped_room_type,response_time,neighbourhood_encoded
Gregory,2012-02-09,"Waverton, New South Wales, Australia",1.0,0.8164300559552359,0,1.0,1,0,1,1,1,3,14,3,3,14,14,3,14,1,30,60,90,365,8,0,0,4.86,4.75,4.5,4.88,5.0,5.0,4.5,0,1,0,1,0,0.08,119.0,1.3062714224681147,2101.0,1,1,1,0,0,1,1,1,138.02608522069195,2,6,3,2,32
Michelle,2012-02-20,"Sydney, New South Wales, Australia",1.0,0.0,0,1.0,1,1,2,1,1,2,90,2,2,90,90,2,90,1,8,38,68,343,22,0,0,4.9,4.91,4.77,5.0,4.91,4.91,4.82,0,1,0,1,0,0.2,80.0,21.717543687806703,2594.0,1,1,1,1,1,1,0,0,114.50185185185185,2,6,3,2,33
Scott,2012-02-27,"Sydney, New South Wales, Australia",1.0,0.57,1,2.0,1,1,2,1,2,7,65,7,7,65,65,7,65,1,0,1,1,38,160,1,0,4.92,4.96,4.84,4.99,4.99,4.82,4.92,0,1,1,0,0,1.35,90.0,7.526648367928496,3433.0,1,1,1,1,1,1,1,1,93.51619733735731,5,6,4,3,21
Sarah,2012-03-01,"Sydney, New South Wales, Australia",1.0,0.57,0,1.0,1,1,3,1,1,1,1125,1,1,1125,1125,1,1125,1,12,42,72,347,75,2,1,4.83,4.8,4.67,4.9,4.93,4.9,4.69,0,1,1,0,0,0.65,264.0,1.4286801374753404,3459.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Ann And Mad,2012-03-03,"Bondi, New South Wales, Australia",1.0,1.0,0,3.0,1,1,2,1,1,2,160,2,2,1125,1125,2,1125,1,0,0,0,108,134,7,0,4.47,4.48,4.68,4.86,4.83,4.69,4.32,1,3,3,0,0,1.16,160.0,5.787863804823722,3336.0,1,1,1,0,1,1,1,1,183.21820800371313,4,6,4,4,35
Ann And Mad,2012-03-03,"Bondi, New South Wales, Australia",1.0,1.0,0,3.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,12,40,70,345,113,8,2,4.59,4.59,4.67,4.85,4.72,4.77,4.41,1,3,3,0,0,1.19,160.0,5.585761960069602,2839.0,1,1,1,0,1,1,1,1,183.21820800371313,4,6,4,4,35
Vic And  Lori,2012-03-05,"Blakehurst, New South Wales, Australia",1.0,0.0,0,0.0,1,0,4,2,2,90,365,90,90,365,365,90,365,1,30,60,90,365,45,0,0,4.79,4.76,4.84,4.91,4.89,4.53,4.67,0,1,1,0,0,0.39,167.0,16.67904283089532,2186.0,1,1,1,0,1,1,1,1,94.17872340425532,4,6,4,2,10
Micky,2012-02-27,"Sydney, New South Wales, Australia",0.88,0.25,0,2.0,1,1,4,2,2,2,180,2,2,180,180,2,180,1,3,8,26,294,44,0,0,4.64,4.57,4.41,4.82,4.73,4.86,4.45,0,2,1,1,0,0.42,203.0,1.642120635215877,2451.0,1,1,1,1,1,1,1,1,138.02608522069195,5,6,4,2,32
Thais,2012-03-16,"Chippendale, New South Wales, Australia",1.0,0.99,1,14.0,1,1,4,2,2,7,1120,3,7,1125,1125,7,1125,1,0,10,40,315,202,24,1,4.79,4.88,4.9,4.95,4.94,4.64,4.7,0,14,14,0,0,1.73,160.0,2.3000929544924937,3481.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Mark,2012-03-27,"Sydney, New South Wales, Australia",1.0,0.6,0,2.0,1,1,4,2,2,21,100,7,21,100,100,20,100,1,13,14,14,14,29,1,0,4.76,4.79,4.46,4.93,5.0,4.86,4.64,0,2,1,1,0,0.32,250.0,4.884595453599547,2361.0,1,1,1,1,1,1,1,1,93.51619733735731,5,6,4,3,21
Tabitha,2012-03-31,"Sydney, New South Wales, Australia",0.93,1.0,1,2.0,1,1,3,1,2,3,1124,3,7,1125,1125,3,1125,1,9,39,69,344,212,4,1,4.71,4.82,4.76,4.96,4.89,4.74,4.7,0,2,2,0,0,1.83,157.0,1.1170217819766757,3446.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
David,2011-11-10,"Lane Cove DC, New South Wales, Australia",1.0,0.9,0,1.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,11,41,71,346,108,5,1,4.7,4.72,4.8,4.86,4.84,4.66,4.7,0,1,0,1,0,0.93,75.0,8.406931238163882,3462.0,1,1,1,0,1,1,1,1,130.27651821862347,2,5,3,4,17
Sarah,2012-04-23,"Sydney, New South Wales, Australia",1.0,1.0,0,1.0,1,1,6,3,3,14,150,14,14,150,150,14,150,1,21,50,50,305,11,0,0,4.64,4.8,4.9,4.7,5.0,4.8,4.8,0,1,1,0,0,0.1,625.0,9.946089010395363,2646.0,1,1,1,1,1,1,0,0,192.27598747261771,5,3,4,3,20
Lindy,2010-02-05,"Sydney, New South Wales, Australia",0.0,0.0,0,1.0,1,1,5,2,2,90,1125,90,90,1125,1125,90,1125,1,29,59,89,89,44,0,0,4.63,4.56,4.46,4.78,4.85,4.8,4.51,0,1,1,0,0,0.4,383.0,2.0945010197992606,2225.0,1,1,1,1,1,1,1,1,138.02608522069195,5,6,4,1,32
Dagmar,2012-05-21,"Sydney, New South Wales, Australia",0.0,0.5,0,2.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,23,53,83,173,3,0,0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,0,2,2,0,0,0.05,250.0,6.472506490427689,662.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,1,35
Mirko,2012-05-12,"Sydney, New South Wales, Australia",1.0,0.92,0,3.0,1,1,4,1,2,3,1125,3,3,1125,1125,3,1125,1,19,49,79,344,367,15,2,4.67,4.71,4.68,4.89,4.9,4.94,4.68,0,1,1,0,0,3.34,233.0,0.6213350124592438,3279.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Cat,2012-05-31,AU,1.0,1.0,1,2.0,1,1,3,1,2,5,365,5,5,1125,1125,5,1125,1,3,33,56,56,58,1,0,4.81,4.84,4.91,4.93,4.98,4.81,4.74,0,1,1,0,0,0.53,192.0,5.938294201965454,2919.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,4,35
Daniel,2012-06-15,"Manly, New South Wales, Australia",1.0,0.94,1,1.0,1,1,2,1,1,2,200,2,2,200,200,2,200,1,3,11,11,138,189,23,2,4.27,4.38,4.23,4.72,4.68,4.84,4.48,0,1,1,0,0,1.65,114.0,10.257435648735491,3415.0,1,1,1,1,1,1,1,1,192.27598747261771,4,6,4,3,20
Ann-Maree & Malcolm,2012-06-15,"Newport Beach, Sydney Australia",1.0,1.0,0,1.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,2,25,55,330,215,13,0,4.63,4.74,4.7,4.88,4.82,4.81,4.4,0,1,1,0,0,1.9,200.0,26.336624819007625,3353.0,1,1,1,1,1,1,1,1,255.97059136060957,4,6,4,4,26
Ross,2012-07-09,"Tamarama, New South Wales, Australia",1.0,0.86,1,1.0,1,1,2,1,1,3,90,3,3,90,90,3,90,1,12,42,72,347,141,1,1,4.86,4.82,4.63,4.96,4.95,4.88,4.79,0,1,0,1,0,1.27,80.0,5.808435856146493,3310.0,1,1,1,1,1,1,1,0,183.21820800371313,2,6,3,3,35
Bobbie,2012-07-11,"Palm Beach, New South Wales, Australia",1.0,0.99,1,2.0,1,1,4,2,2,2,31,2,4,31,31,2,31,1,1,28,58,167,82,3,0,4.81,4.81,4.84,4.97,4.94,4.93,4.77,0,1,1,0,0,0.9,750.0,31.619365708914728,2560.0,1,1,1,1,1,1,1,1,138.02608522069195,6,6,4,4,38
Rahel,2011-12-03,"Bondi Beach, New South Wales, Australia",0.0,1.0,0,2.0,1,1,3,2,2,90,1124,90,90,1125,1125,90,1125,1,0,6,36,311,55,0,0,4.74,4.7,4.65,4.87,4.93,4.96,4.46,0,1,1,0,0,0.5,289.0,6.638686736247501,2752.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,1,35
Felicity,2012-04-05,"Sydney, New South Wales, Australia",0.71,0.42,0,2.0,1,1,4,2,2,90,90,90,90,90,90,90,90,1,0,0,0,221,45,0,0,4.56,4.52,4.36,4.86,4.79,4.88,4.48,0,1,1,0,0,0.4,280.0,7.2237653818031955,2741.0,1,1,1,1,1,1,1,1,135.26623842867315,4,6,4,3,27
Contemporary Hotels,2012-07-24,"Sydney, New South Wales, Australia",0.97,0.46,1,64.0,1,1,2,1,1,3,365,3,5,365,365,3,365,1,0,0,16,196,6,0,0,4.83,5.0,4.83,5.0,5.0,5.0,4.83,0,19,19,0,0,0.09,600.0,1.115688611891196,1103.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,3,32
Hugh,2011-10-07,"Sydney, New South Wales, Australia",1.0,0.75,1,5.0,1,1,4,1,2,3,1124,3,6,1124,1124,3,1124,1,8,28,58,333,258,0,0,4.69,4.8,4.72,4.9,4.92,4.72,4.66,0,5,5,0,0,2.29,141.0,1.3105794565677757,2737.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Frances,2012-07-29,"Sydney, New South Wales, Australia",1.0,0.96,1,4.0,1,1,2,1,2,2,91,2,2,91,91,2,91,1,4,9,12,233,99,0,0,4.89,4.95,4.89,4.94,4.96,4.67,4.9,1,4,1,3,0,1.4,65.0,5.627851339608298,1665.0,1,1,1,1,1,1,1,1,130.27651821862347,2,4,3,4,17
Ruth,2012-08-09,"Sydney, New South Wales, Australia",0.5,0.0,0,1.0,1,1,2,2,1,7,365,7,7,365,365,7,365,1,1,27,57,332,14,0,0,4.5,4.08,4.42,4.83,4.67,4.58,4.5,0,1,0,1,0,0.15,66.0,6.064729343780754,2274.0,1,1,1,1,1,1,0,1,183.21820800371313,2,4,3,2,35
Nan,2012-08-16,"Bondi Junction, New South Wales, Australia",1.0,1.0,1,1.0,1,1,2,1,1,1,15,1,1,15,15,1,15,1,5,18,48,323,199,4,0,4.76,4.86,4.65,4.93,4.92,4.82,4.76,1,1,0,1,0,1.83,80.0,4.944378557854407,3043.0,1,1,1,1,0,1,1,1,183.21820800371313,2,4,3,4,35
Contemporary Hotels,2012-07-24,"Sydney, New South Wales, Australia",0.97,0.46,1,64.0,1,1,6,3,2,5,360,5,7,360,365,5,360,1,30,60,86,361,14,0,0,5.0,4.93,4.86,4.93,4.79,4.86,4.71,0,19,19,0,0,0.17,2746.0,1.5366827814229083,1410.0,1,1,1,1,1,1,1,1,138.02608522069195,4,3,4,3,32
Carolyn,2012-06-05,"Sydney, New South Wales, Australia",1.0,0.8164300559552359,1,1.0,1,1,2,1,1,3,60,3,3,60,60,3,60,1,0,0,0,222,87,0,0,4.81,4.85,4.9,4.95,4.98,4.92,4.83,0,1,1,0,0,0.77,135.0,2.176813123547288,2626.0,1,1,1,1,1,1,0,1,117.31939891873483,4,6,4,2,18
Morgan,2011-05-10,"Elizabeth Bay, New South Wales, Australia",1.0,0.8164300559552359,1,1.0,1,1,2,1,1,90,160,90,90,160,160,90,160,1,29,59,89,364,19,0,0,4.95,4.84,4.84,4.84,4.95,4.95,4.89,0,1,1,0,0,0.22,88.0,1.9501362340112522,1915.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,3,32
Antoinette,2012-08-14,"Sydney, New South Wales, Australia",1.0,0.0,0,1.0,1,0,4,2,2,90,200,90,90,200,200,90,200,1,20,50,80,355,31,0,0,4.55,4.84,4.65,4.93,4.9,4.67,4.73,0,1,1,0,0,0.43,100.0,10.141010174063473,835.0,1,1,1,1,1,1,1,1,84.19321449108683,4,6,4,2,9
Jennifer,2012-06-20,"Sydney, New South Wales, Australia",1.0,0.95,1,1.0,1,1,6,4,4,3,28,3,3,28,28,3,28,1,0,0,0,0,6,0,0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,0,2,2,0,0,0.06,450.0,6.990622388640311,2549.0,1,1,1,1,1,1,1,1,135.26623842867315,5,6,4,4,27
The Chee,2012-09-20,"Bondi Beach, New South Wales, Australia",1.0,0.94,1,7.0,1,1,2,1,2,1,42,1,1,42,42,1,42,1,12,12,12,12,60,3,1,4.85,4.9,4.91,4.98,4.98,4.93,4.71,0,3,3,0,0,0.54,264.0,6.32298213892385,3344.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,4,35
Askar And Zara,2011-07-15,"Pymble, New South Wales, Australia",1.0,0.31,0,2.0,1,1,5,2,4,3,365,3,3,365,365,3,365,1,0,6,6,137,37,0,0,4.59,4.6,4.56,4.89,4.89,4.6,4.69,0,2,2,0,0,0.34,115.0,14.530688059252542,2640.0,1,1,1,0,1,1,1,1,116.07480748074806,5,6,4,3,16
Camille,2012-09-23,"Sydney, Australia",1.0,0.0,0,3.0,1,1,8,1,6,15,24,15,15,24,24,15,24,1,16,16,16,16,1,0,0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,0,2,1,1,0,0.03,200.0,6.519763271217499,0.0,1,1,1,1,0,1,1,1,77.14240568832707,5,6,4,4,4
Felicity,2012-09-29,"Manly, New South Wales, Australia",1.0,1.0,1,1.0,1,1,4,1,4,7,40,4,7,6,40,7,39,1,1,18,40,106,54,2,0,4.98,4.96,4.96,4.98,4.98,4.98,4.92,0,1,1,0,0,0.49,215.0,9.126000048745277,3191.0,1,1,1,1,1,1,1,1,192.27598747261771,4,6,4,3,20
Paul And Raymond,2012-03-17,"Sydney, New South Wales, Australia",1.0,0.98,1,1.0,1,1,3,1,1,4,1000,4,4,1000,1000,4,1000,1,2,8,8,8,489,32,4,4.87,4.94,4.85,4.93,4.97,4.8,4.86,0,1,1,0,0,4.41,107.0,2.596827732050767,3317.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Guy,2012-06-03,"Pagewood, New South Wales, Australia",1.0,0.75,0,1.0,1,1,6,3,3,6,1125,6,6,1125,1125,6,1125,1,0,22,22,273,11,0,0,4.3,4.7,4.4,5.0,5.0,4.7,4.5,0,1,1,0,0,0.1,189.0,9.331202558934747,2495.0,1,1,1,1,1,1,0,0,135.26623842867315,5,6,4,3,27
The Chee,2012-09-20,"Bondi Beach, New South Wales, Australia",1.0,0.94,1,7.0,1,1,2,1,2,1,42,1,1,42,42,1,42,1,12,12,12,61,61,6,0,4.8,4.85,4.77,4.98,4.98,4.95,4.67,0,3,3,0,0,0.56,276.0,6.3174270859792365,3085.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,4,35
Cc,2011-01-04,"Sydney, New South Wales, Australia",1.0,0.0,0,1.0,1,1,6,2,3,90,1125,90,90,1125,1125,90,1125,1,23,53,83,358,36,0,0,4.54,4.5,3.97,4.69,4.63,4.72,4.42,0,1,1,0,0,0.33,235.0,4.054746110027276,2210.0,1,1,1,1,1,1,1,1,138.02608522069195,5,6,4,3,32
Tracey,2012-09-22,"Hobart, Tasmania, Australia",1.0,0.75,1,3.0,1,1,4,2,2,7,1125,7,7,1125,1125,7,1125,1,3,6,36,311,5,1,0,5.0,4.6,5.0,5.0,5.0,5.0,4.0,0,1,1,0,0,0.05,635.0,5.903264534721414,2907.0,1,1,1,1,1,1,1,1,220.34827684827684,5,6,4,2,22
Duane & Jenny,2012-10-27,"Sydney, New South Wales, Australia",1.0,0.0,0,1.0,1,1,2,2,2,14,60,14,14,60,60,14,60,1,21,51,81,356,3,0,0,4.0,3.5,4.5,4.5,5.0,5.0,3.0,0,1,1,0,0,0.04,250.0,12.354871237491016,79.0,1,1,1,1,1,1,0,1,106.39955357142857,4,3,4,2,8
Contemporary Hotels,2012-07-24,"Sydney, New South Wales, Australia",0.97,0.46,1,64.0,1,1,8,4,4,2,90,2,7,90,365,2,121,1,1,7,16,244,6,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.83,0,19,19,0,0,0.07,1250.0,32.303144323271795,2257.0,1,1,1,1,1,1,1,1,255.97059136060957,5,3,4,3,26
Ingrid,2011-04-06,"Marina del Rey, California, United States",1.0,0.73,0,2.0,1,1,4,2,2,4,1125,4,4,1125,1125,4,1125,1,0,1,8,283,42,0,0,4.61,4.67,4.58,4.83,4.69,4.94,4.42,0,2,2,0,0,0.47,210.0,6.699381639768636,2252.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,3,35
Charlotte,2012-10-09,"Sydney, New South Wales, Australia",1.0,1.0,1,4.0,1,1,3,1,2,2,1125,2,21,65,1125,10,683,1,14,16,46,321,430,24,2,4.77,4.83,4.82,4.9,4.91,4.78,4.75,1,2,2,0,0,3.94,136.0,1.421797943698766,3253.0,0,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Paul,2012-10-21,"Sydney, New South Wales, Australia",1.0,0.33,0,2.0,1,1,7,3,4,4,24,4,4,24,24,4,24,1,2,3,3,3,12,1,0,4.91,4.92,4.83,5.0,5.0,5.0,4.75,0,1,1,0,0,0.11,360.0,5.791947139502336,2945.0,1,1,1,1,0,1,1,1,183.21820800371313,5,3,4,2,35
Robbie,2012-06-16,"Mosman, New South Wales, Australia",1.0,1.0,1,1.0,1,1,4,2,3,3,1125,3,3,1125,1125,3,1125,1,4,25,44,307,199,24,3,4.35,4.46,4.23,4.87,4.77,4.8,4.32,1,1,1,0,0,1.83,189.0,5.931026570967571,3259.0,1,1,1,1,1,1,1,1,220.34827684827684,4,6,4,4,22
Hong,2012-11-09,"Hornsby, New South Wales, Australia",1.0,1.0,0,4.0,1,1,2,1,2,90,1125,90,90,1125,1125,90,1125,1,30,60,90,365,50,0,0,4.48,4.57,4.3,4.74,4.88,4.54,4.62,1,4,0,4,0,0.45,81.0,22.866259987529414,2441.0,1,1,1,1,1,1,0,1,129.87171912486124,2,2,3,2,13
